,author,title,body,date,rating,helpful
0,,Item as described,Item as described,2018-10-29,5,0
1,,Love love love,Love love love it!!!!,2018-10-29,5,0
2,,Easy yo use,Love it,2018-10-29,5,0
3,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
4,,good price,It is what i was looking,2018-10-29,5,0
5,,Ease of use.,Continuous improvement,2018-10-29,5,0
6,,Five Stars,Good item,2018-10-29,5,0
7,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
8,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
9,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
10,,Item as described,Item as described,2018-10-29,5,1
11,,Love love love,Love love love it!!!!,2018-10-29,5,1
12,,Easy yo use,Love it,2018-10-29,5,1
13,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
14,,good price,It is what i was looking,2018-10-29,5,1
15,,Ease of use.,Continuous improvement,2018-10-29,5,1
16,,Five Stars,Good item,2018-10-29,5,1
17,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
18,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
19,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
20,,Item as described,Item as described,2018-10-29,5,1
21,,Love love love,Love love love it!!!!,2018-10-29,5,1
22,,Easy yo use,Love it,2018-10-29,5,1
23,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
24,,good price,It is what i was looking,2018-10-29,5,1
25,,Ease of use.,Continuous improvement,2018-10-29,5,1
26,,Five Stars,Good item,2018-10-29,5,1
27,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
28,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
29,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
30,,Item as described,Item as described,2018-10-29,5,0
31,,Love love love,Love love love it!!!!,2018-10-29,5,0
32,,Easy yo use,Love it,2018-10-29,5,0
33,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
34,,good price,It is what i was looking,2018-10-29,5,0
35,,Ease of use.,Continuous improvement,2018-10-29,5,0
36,,Five Stars,Good item,2018-10-29,5,0
37,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
38,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
39,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
40,,Item as described,Item as described,2018-10-29,5,1
41,,Love love love,Love love love it!!!!,2018-10-29,5,1
42,,Easy yo use,Love it,2018-10-29,5,1
43,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
44,,good price,It is what i was looking,2018-10-29,5,1
45,,Ease of use.,Continuous improvement,2018-10-29,5,1
46,,Five Stars,Good item,2018-10-29,5,1
47,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
48,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
49,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
50,,Item as described,Item as described,2018-10-29,5,1
51,,Love love love,Love love love it!!!!,2018-10-29,5,1
52,,Easy yo use,Love it,2018-10-29,5,1
53,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
54,,good price,It is what i was looking,2018-10-29,5,1
55,,Ease of use.,Continuous improvement,2018-10-29,5,1
56,,Five Stars,Good item,2018-10-29,5,1
57,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
58,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
59,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
60,,Item as described,Item as described,2018-10-29,5,0
61,,Love love love,Love love love it!!!!,2018-10-29,5,0
62,,Easy yo use,Love it,2018-10-29,5,0
63,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
64,,good price,It is what i was looking,2018-10-29,5,0
65,,Ease of use.,Continuous improvement,2018-10-29,5,0
66,,Five Stars,Good item,2018-10-29,5,0
67,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
68,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
69,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
70,,Item as described,Item as described,2018-10-29,5,0
71,,Love love love,Love love love it!!!!,2018-10-29,5,0
72,,Easy yo use,Love it,2018-10-29,5,0
73,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
74,,good price,It is what i was looking,2018-10-29,5,0
75,,Ease of use.,Continuous improvement,2018-10-29,5,0
76,,Five Stars,Good item,2018-10-29,5,0
77,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
78,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
79,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
80,,Item as described,Item as described,2018-10-29,5,0
81,,Love love love,Love love love it!!!!,2018-10-29,5,0
82,,Easy yo use,Love it,2018-10-29,5,0
83,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
84,,good price,It is what i was looking,2018-10-29,5,0
85,,Ease of use.,Continuous improvement,2018-10-29,5,0
86,,Five Stars,Good item,2018-10-29,5,0
